Fair Wind Charm,3,Attack Boost 1,Divine Blessing 1
Poison Charm I,3,Poison Resistance 1,None
Poison Charm II,5,Poison Resistance 2,None
Poison Charm III,6,Poison Resistance 3,None
Attack Charm I,3,Attack Boost 1,None
Attack Charm II,5,Attack Boost 2,None
Attack Charm III,7,Attack Boost 3,None
Defense Charm I,3,Defense Boost 1,None
Defense Charm II,5,Defense Boost 2,None
Defense Charm III,6,Defense Boost 3,None
Paralysis Charm I,3,Paralysis Resistance 1,None
Paralysis Charm II,5,Paralysis Resistance 2,None
Paralysis Charm III,7,Paralysis Resistance 3,None
Sleep Charm I,3,Sleep Resistance 1,None
Sleep Charm II,5,Sleep Resistance 2,None
Sleep Charm III,6,Sleep Resistance 3,None
Stun Charm I,3,Stun Resistance 1,None
Stun Charm II,5,Stun Resistance 2,None
Stun Charm III,6,Stun Resistance 3,None
Blast Charm I,5,Blast Resistance 1,None
Blast Charm II,6,Blast Resistance 2,None
Blast Charm III,7,Blast Resistance 3,None
Bleed Charm I,4,Bleeding Resistance 1,None
Bleed Charm II,6,Bleeding Resistance 2,None
Bleed Charm III,7,Bleeding Resistance 3,None
Guard Charm I,6,Iron Skin 1,None
Guard Charm II,6,Iron Skin 2,None
Guard Charm III,7,Iron Skin 3,None
Earplugs Charm I,6,Earplugs 1,None
Earplugs Charm II,6,Earplugs 2,None
Earplugs Charm III,8,Earplugs 3,None
Windproof Charm I,3,Windproof 1,None
Windproof Charm II,5,Windproof 2,None
Windproof Charm III,6,Windproof 3,None
Tremor Charm I,6,Tremor Resistance 1,None
Tremor Charm II,7,Tremor Resistance 2,None
Health Charm I,3,Health Boost 1,None
Health Charm II,5,Health Boost 2,None
Health Charm III,7,Health Boost 3,None
Recovery Charm I,3,Recovery Up 1,None
Recovery Charm II,6,Recovery Up 2,None
Recovery Charm III,7,Recovery Up 3,None
Speed Heal Charm I,4,Recovery Speed 1,None
Speed Heal Charm III,7,Recovery Speed 3,None
Speed Heal Charm II,6,Recovery Speed 2,None
Fire Charm I,3,Fire Resistance 1,None
Fire Charm II,5,Fire Resistance 2,None
Fire Charm III,7,Fire Resistance 3,None
Water Charm I,3,Water Resistance 1,None
Water Charm II,5,Water Resistance 2,None
Water Charm III,7,Water Resistance 3,None
Ice Charm I,4,Ice Resistance 1,None
Ice Charm II,6,Ice Resistance 2,None
Ice Charm III,7,Ice Resistance 3,None
Thunder Charm I,3,Thunder Resistance 1,None
Thunder Charm II,5,Thunder Resistance 2,None
Thunder Charm III,7,Thunder Resistance 3,None
Dragon Charm I,5,Dragon Resistance 1,None
Dragon Charm II,6,Dragon Resistance 2,None
Dragon Charm III,7,Dragon Resistance 3,None
Blight Charm I,4,Blight Resistance 1,None
Blight Charm II,7,Blight Resistance 2,None
Blight Charm III,8,Blight Resistance 3,None
Blaze Charm I,3,Fire Attack 1,None
Blaze Charm II,6,Fire Attack 2,None
Blaze Charm III,7,Fire Attack 3,None
Flood Charm I,3,Water Attack 1,None
Flood Charm II,5,Water Attack 2,None
Flood Charm III,7,Water Attack 3,None
Frost Charm I,4,Ice Attack 1,None
Frost Charm II,6,Ice Attack 2,None
Frost Charm III,7,Ice Attack 3,None
Shock Charm I,3,Thunder Attack 1,None
Shock Charm II,5,Thunder Attack 2,None
Shock Charm III,7,Thunder Attack 3,None
Wyrmsbane Charm I,5,Dragon Attack 1,None
Wyrmsbane Charm II,7,Dragon Attack 2,None
Wyrmsbane Charm III,8,Dragon Attack 3,None
Venom Charm I,3,Poison Attack 1,None
Venom Charm II,6,Poison Attack 2,None
Venom Charm III,7,Poison Attack 3,None
Immobilize Charm I,3,Paralysis Attack 1,None
Immobilize Charm II,5,Paralysis Attack 2,None
Immobilize Charm III,7,Paralysis Attack 3,None
Tranq Charm I,3,Sleep Attack 1,None
Tranq Charm II,5,Sleep Attack 2,None
Tranq Charm III,7,Sleep Attack 3,None
Demolition Charm I,5,Blast Attack 1,None
Demolition Charm II,6,Blast Attack 2,None
Demolition Charm III,8,Blast Attack 3,None
Master''s Charm I,4,Critical Eye 1,None
Master''s Charm II,6,Critical Eye 2,None
Master''s Charm III,7,Critical Eye 3,None
Critical Charm I,8,Critical Boost 1,None
Exploiter Charm I,6,Weakness Exploit 1,None
Exploiter Charm II,8,Weakness Exploit 2,None
Focus Charm I,6,Focus 1,None
Focus Charm II,7,Focus 2,None
Invigorate Charm I,8,Power Prolonger 1,None
Invigorate Charm II,8,Power Prolonger 2,None
Draw Charm I,5,Critical Draw 1,None
Draw Charm II,7,Critical Draw 2,None
Breaker Charm I,6,Partbreaker 1,None
Breaker Charm II,8,Partbreaker 2,None
KO Charm I,3,Slugger 1,None
KO Charm II,5,Slugger 2,None
KO Charm III,7,Slugger 3,None
Enervate Charm I,3,Stamina Thief 1,None
Enervate Charm II,5,Stamina Thief 2,None
Enervate Charm III,6,Stamina Thief 3,None
Power Charm I,7,Latent Power 1,None
Power Charm II,8,Latent Power 2,None
Challenger Charm I,7,Agitator 1,None
Challenger Charm II,8,Agitator 2,None
Unscathed Charm I,7,Peak Performance 1,None
Unscathed Charm II,8,Peak Performance 2,None
Fury Charm I,6,Resentment 1,None
Fury Charm II,8,Resentment 2,None
Special Shot Charm I,5,Special Ammo Boost 1,None
Special Shot Charm II,8,Special Ammo Boost 2,None
Artillery Charm I,3,Artillery 1,None
Artillery Charm II,5,Artillery 2,None
Artillery Charm III,7,Artillery 3,None
Marathon Charm I,5,Marathon Runner 1,None
Marathon Charm II,8,Marathon Runner 2,None
Fitness Charm I,5,Constitution 1,None
Fitness Charm II,6,Constitution 2,None
Surge Charm I,5,Stamina Surge 1,None
Surge Charm II,7,Stamina Surge 2,None
Hungerless Charm I,3,Hunger Resistance 1,None
Hungerless Charm II,5,Hunger Resistance 2,None
Hungerless Charm III,6,Hunger Resistance 3,None
Evasion Charm I,4,Evade Window 1,None
Evasion Charm II,6,Evade Window 2,None
Evasion Charm III,7,Evade Window 3,None
Leaping Charm I,5,Evade Extender 1,None
Leaping Charm II,7,Evade Extender 2,None
Ironside Charm I,3,Guard 1,None
Ironside Charm II,5,Guard 2,None
Ironside Charm III,7,Guard 3,None
Sheath Charm I,4,Quick Sheath 1,None
Sheath Charm II,6,Quick Sheath 2,None
Sheath Charm III,8,Quick Sheath 3,None
Friendship Charm I,3,Wide-Range 1,None
Friendship Charm II,5,Wide-Range 2,None
Friendship Charm III,7,Wide-Range 3,None
Extension Charm I,3,Item Prolonger 1,None
Extension Charm II,6,Item Prolonger 2,None
Extension Charm III,7,Item Prolonger 3,None
Glutton''s Charm I,3,Speed Eating 1,None
Glutton''s Charm II,5,Speed Eating 2,None
Glutton''s Charm III,7,Speed Eating 3,None
Whetstone Charm I,4,Speed Sharpening 1,None
Whetstone Charm II,6,Speed Sharpening 2,None
